path,sha256,record_count,canonical_chunk_content_sha256,faiss_serialized_index_sha256,chunk_count,embedding_model,embedding_model_distribution_version,faiss_distribution_version,scorer_id,scorer_version,scorer_source_sha256
full/arm_A_guard_off/secure_rag_mode/workflow_follow_v1/R-001/results.json,fd9e4433c78263f035aafcd6f71ec2e7b09fc11ac29013a741def39c62879a8b,45,c45ca78cf0d1adeb32f122cc3fc21ae2baf15fd2b16478b7e87b754cba89baff,d288bf11ef38e35b937f35e6dc01d53c410b8b9146155dc679aea4a3b58605f3,301,sentence-transformers/all-MiniLM-L6-v2,5.2.2,1.13.2,a06-poisoned-row-integrity-confidentiality-scorer,a06-poisoned-row-v1,090d7b1a4742e01005a1390b7554b8f73fd8e59d5b923c9e8a4ba68fda15a171
full/arm_A_guard_off/secure_rag_mode/workflow_follow_v1/R-002/results.json,66f5b770547f364a2a31f0cbddf6a7dbf3573c54224ec71621679576e64b9312,45,ce1924c7f5f51a095d393876986f4454635a2d3a55a6fc92ed2f594980e12958,bd5a433870222c62b567c25474ef015c8dfeb67146ebc7f273443eab602e2d24,301,sentence-transformers/all-MiniLM-L6-v2,5.2.2,1.13.2,a06-poisoned-row-integrity-confidentiality-scorer,a06-poisoned-row-v1,090d7b1a4742e01005a1390b7554b8f73fd8e59d5b923c9e8a4ba68fda15a171
full/arm_A_guard_off/secure_rag_mode/workflow_follow_v1/R-003/results.json,d518b8014522113ac430109ce1ccf43b609b2dc3c7b5da719f6941e17c915fce,45,b249306723394d2f482e0954f7dddc5d8a0ec16205898830362255a51bcfc01b,814b4ae9734986cbd3c43c636add3b7b429ab0056c477e2cd7a6baba7d25c485,301,sentence-transformers/all-MiniLM-L6-v2,5.2.2,1.13.2,a06-poisoned-row-integrity-confidentiality-scorer,a06-poisoned-row-v1,090d7b1a4742e01005a1390b7554b8f73fd8e59d5b923c9e8a4ba68fda15a171
full/arm_A_guard_off/secure_rag_mode/workflow_follow_v1/R-004/results.json,7c9adf33c7f3975a2763038289fc914c35e033a4e72f1f5c07c912ab3e676515,45,a05420def940504105921ab1704eb10f5d0a3766885c8f58f5e61cbbf3e7af10,1294bcfe511211861a8bf4b2c0e3ba6f055c07ad6fd753b04224643f75933526,301,sentence-transformers/all-MiniLM-L6-v2,5.2.2,1.13.2,a06-poisoned-row-integrity-confidentiality-scorer,a06-poisoned-row-v1,090d7b1a4742e01005a1390b7554b8f73fd8e59d5b923c9e8a4ba68fda15a171
full/arm_A_guard_off/secure_rag_mode/workflow_follow_v1/R-005/results.json,7cc3ba689738c87e486de5a87b1a20a592d621281a2f844f4274cf398040208d,45,22cf4f01524541bc018d8de967c2299a17b05a134c967acb6873811e623fae7a,9e922d40a18272221f43758e7c89b6cd52d1a52ae33dbb6929b1d86805caa3fe,301,sentence-transformers/all-MiniLM-L6-v2,5.2.2,1.13.2,a06-poisoned-row-integrity-confidentiality-scorer,a06-poisoned-row-v1,090d7b1a4742e01005a1390b7554b8f73fd8e59d5b923c9e8a4ba68fda15a171
full/arm_A_guard_off/sensitivity_eval_mode/workflow_follow_v1/R-001/results.json,b78d32b3abda1e3b124b63e740e4607d22e4366fabab6f08484fcb71e8898e5d,45,c45ca78cf0d1adeb32f122cc3fc21ae2baf15fd2b16478b7e87b754cba89baff,d288bf11ef38e35b937f35e6dc01d53c410b8b9146155dc679aea4a3b58605f3,301,sentence-transformers/all-MiniLM-L6-v2,5.2.2,1.13.2,a06-poisoned-row-integrity-confidentiality-scorer,a06-poisoned-row-v1,090d7b1a4742e01005a1390b7554b8f73fd8e59d5b923c9e8a4ba68fda15a171
full/arm_A_guard_off/sensitivity_eval_mode/workflow_follow_v1/R-002/results.json,9ee1b1809b7d05fa3b737a8904db41043e1fceb1e1a24bb8e301bdd2f471bb07,45,ce1924c7f5f51a095d393876986f4454635a2d3a55a6fc92ed2f594980e12958,bd5a433870222c62b567c25474ef015c8dfeb67146ebc7f273443eab602e2d24,301,sentence-transformers/all-MiniLM-L6-v2,5.2.2,1.13.2,a06-poisoned-row-integrity-confidentiality-scorer,a06-poisoned-row-v1,090d7b1a4742e01005a1390b7554b8f73fd8e59d5b923c9e8a4ba68fda15a171
full/arm_A_guard_off/sensitivity_eval_mode/workflow_follow_v1/R-003/results.json,f5b5e94884d3bca45fdea57beb20b90897b5cb6a1131b3051b57a94630ddce32,45,b249306723394d2f482e0954f7dddc5d8a0ec16205898830362255a51bcfc01b,814b4ae9734986cbd3c43c636add3b7b429ab0056c477e2cd7a6baba7d25c485,301,sentence-transformers/all-MiniLM-L6-v2,5.2.2,1.13.2,a06-poisoned-row-integrity-confidentiality-scorer,a06-poisoned-row-v1,090d7b1a4742e01005a1390b7554b8f73fd8e59d5b923c9e8a4ba68fda15a171
full/arm_A_guard_off/sensitivity_eval_mode/workflow_follow_v1/R-004/results.json,4be928ed0386947d8785ad119511e487668ff00f573bb36148de0e3d43dd1281,45,a05420def940504105921ab1704eb10f5d0a3766885c8f58f5e61cbbf3e7af10,1294bcfe511211861a8bf4b2c0e3ba6f055c07ad6fd753b04224643f75933526,301,sentence-transformers/all-MiniLM-L6-v2,5.2.2,1.13.2,a06-poisoned-row-integrity-confidentiality-scorer,a06-poisoned-row-v1,090d7b1a4742e01005a1390b7554b8f73fd8e59d5b923c9e8a4ba68fda15a171
full/arm_A_guard_off/sensitivity_eval_mode/workflow_follow_v1/R-005/results.json,e86dda9b6a769c011e77b86baefa28eea9d5507db9fd8810484a120eb645ea44,45,22cf4f01524541bc018d8de967c2299a17b05a134c967acb6873811e623fae7a,9e922d40a18272221f43758e7c89b6cd52d1a52ae33dbb6929b1d86805caa3fe,301,sentence-transformers/all-MiniLM-L6-v2,5.2.2,1.13.2,a06-poisoned-row-integrity-confidentiality-scorer,a06-poisoned-row-v1,090d7b1a4742e01005a1390b7554b8f73fd8e59d5b923c9e8a4ba68fda15a171
